             Run ID             |              name               |              name               | Yield PF (Gb) R1 | Yield PF (Gb) R2 | Avg Q Score R1 | Avg Q Score R2 | % Bases >=Q30 R1 | % Bases >=Q30 R2 | Cluster Density (K/mm^2) R1 | Cluster Density (K/mm^2) R2 | Clusters Raw R1 | Clusters Raw R2 | Clusters PF R1 | Clusters PF R2 | %PF R1 | %PF R2 | Intensity Cycle 1 R1 | Intensity Cycle 1 R2 | Intensity Cycle 20 R1 | Intensity Cycle 20 R2 | % Phasing R1 | % Phasing R2 | % Prephasing R1 | % Prephasing R2 | % Aligned R1 | % Aligned R2 | % Error Rate R1 | % Error Rate R2 
 150609_D00132_0121_AC6U5HANXX  | Diag-excap44-2015-06-01         | Diag-excap44-595-596-597-598    | 33.94            | 33.94            |                |                |                  |                  | 1055                        | 1055                        | 292993222       | 292993222       | 271513923      | 271513923      | 92.7   | 92.7   |                      | 2219                 |                       |                       | 0.083        | 0.087        | 0.072           | 0.082           | 0.8          | 0.8          | 0.54            | 0.77
 150609_D00132_0121_AC6U5HANXX  | Helgeland-strandRNA2-2015-05-18 | Helgeland-strandRNA2-pool1      | 29.24            | 29.24            |                |                |                  |                  | 887                         | 887                         | 246540671       | 246540671       | 233914043      | 233914043      | 94.9   | 94.9   |                      | 2530                 |                       |                       | 0.103        | 0.094        | 0.075           | 0.085           | 1            | 1            | 0.49            | 0.65
 150609_D00132_0121_AC6U5HANXX  | Helgeland-strandRNA2-2015-05-18 | Helgeland-strandRNA2-pool2      | 29.47            | 29.47            |                |                |                  |                  | 893                         | 893                         | 248061197       | 248061197       | 235785119      | 235785119      | 95.1   | 95.1   |                      | 11850                |                       |                       | 0.109        | 0.089        | 0.077           | 0.083           | 1            | 1            | 0.5             | 0.66
 150609_D00132_0121_AC6U5HANXX  | Helgeland-strandRNA2-2015-05-18 | Helgeland-strandRNA2-pool3      | 29.84            | 29.84            |                |                |                  |                  | 907                         | 907                         | 252100406       | 252100406       | 238689545      | 238689545      | 94.7   | 94.7   |                      | 2439                 |                       |                       | 0.104        | 0.091        | 0.078           | 0.085           | 0.9          | 0.9          | 0.5             | 0.7
 150609_D00132_0122_BC719VANXX  | Diag-excap44-2015-06-01         | Diag-excap44-599-600-601-602    | 36.09            | 36.09            |                |                |                  |                  | 1155                        | 1155                        | 320891028       | 320891028       | 288683210      | 288683210      | 90     | 90     |                      | 13399                |                       |                       | 0.072        | 0.087        | 0.085           | 0.089           | 0.6          | 0.6          | 0.59            | 0.79
 150609_D00132_0122_BC719VANXX  | Diag-excap44-2015-06-01         | Diag-excap44-603-604-605-606    | 36.08            | 36.08            |                |                |                  |                  | 1152                        | 1152                        | 320045394       | 320045394       | 288677606      | 288677606      | 90.2   | 90.2   |                      | 11763                |                       |                       | 0.07         | 0.086        | 0.083           | 0.089           | 0.7          | 0.6          | 0.58            | 0.74
 150609_D00132_0122_BC719VANXX  | Diag-excap44-2015-06-01         | Diag-excap44-607-570-576-584    | 36.23            | 36.23            |                |                |                  |                  | 1160                        | 1160                        | 322374190       | 322374190       | 289862756      | 289862756      | 89.9   | 89.9   |                      | 13057                |                       |                       | 0.069        | 0.085        | 0.082           | 0.09            | 0.6          | 0.6          | 0.6             | 0.8
 150609_D00132_0122_BC719VANXX  | Diag-excap45-2015-06-04         | Diag-excap45-608-609-610-611    | 34.38            | 34.38            |                |                |                  |                  | 1075                        | 1075                        | 298729163       | 298729163       | 275037095      | 275037095      | 92.1   | 92.1   |                      | 12588                |                       |                       | 0.072        | 0.084        | 0.079           | 0.083           | 0.8          | 0.7          | 0.53            | 0.71
 150609_D00132_0122_BC719VANXX  | Diag-excap45-2015-06-04         | Diag-excap45-612-613-614-615    | 34.43            | 34.43            |                |                |                  |                  | 1072                        | 1072                        | 297774115       | 297774115       | 275435467      | 275435467      | 92.5   | 92.5   |                      | 11284                |                       |                       | 0.075        | 0.084        | 0.075           | 0.083           | 0.7          | 0.7          | 0.53            | 0.69
 150609_D00132_0122_BC719VANXX  | Diag-excap45-2015-06-04         | Diag-excap45-616-617-618-619    | 34.23            | 34.23            |                |                |                  |                  | 1061                        | 1061                        | 294722256       | 294722256       | 273802664      | 273802664      | 92.9   | 92.9   |                      | 13332                |                       |                       | 0.073        | 0.084        | 0.079           | 0.083           | 0.8          | 0.8          | 0.54            | 0.67
 150609_D00132_0122_BC719VANXX  | Diag-excap45-2015-06-04         | Diag-excap45-620-621-622-623    | 34.57            | 34.57            |                |                |                  |                  | 1071                        | 1071                        | 297500395       | 297500395       | 276585019      | 276585019      | 93     | 93     |                      | 11766                |                       |                       | 0.075        | 0.083        | 0.08            | 0.086           | 0.9          | 0.8          | 0.53            | 0.68
 150609_D00132_0122_BC719VANXX  | Diag-excap45-2015-06-04         | Diag-excap45-624-625-626-627    | 34.5             | 34.5             |                |                |                  |                  | 1071                        | 1071                        | 297639492       | 297639492       | 275984240      | 275984240      | 92.7   | 92.7   |                      | 12753                |                       |                       | 0.076        | 0.086        | 0.082           | 0.088           | 0.9          | 0.8          | 0.51            | 0.65
 150629_7001448_0295_BC6VNCANXX | Pihlstrom-HALO-2015-05-22       | Pihlstrom-HALO-Pool1            | 37.13            | 37.13            |                |                |                  |                  | 1174                        | 1174                        | 326042352       | 326042352       | 297037202      | 297037202      | 91.1   | 91.1   | 7999                 | 15348                |                       |                       | 0.07         | 0.085        | 0.373           | 0.186           | 0.5          | 0.5          | 1.78            | 1.03
 150629_7001448_0295_BC6VNCANXX | Pihlstrom-HALO-2015-05-22       | Pihlstrom-HALO-Pool2            | 36.71            | 36.71            |                |                |                  |                  | 1152                        | 1152                        | 319945825       | 319945825       | 293705087      | 293705087      | 91.8   | 91.8   | 7769                 | 15207                |                       |                       | 0.071        | 0.088        | 0.366           | 0.208           | 0.5          | 0.5          | 1.72            | 1.09
 150629_7001448_0295_BC6VNCANXX | Diag-excap45-2015-06-04         | Diag-excap45-628-629-630-631    | 33               | 33               |                |                |                  |                  | 1013                        | 1013                        | 281297553       | 281297553       | 263994616      | 263994616      | 93.8   | 93.8   | 9113                 | 14989                |                       |                       | 0.078        | 0.089        | 0.274           | 0.159           | 0.7          | 0.7          | 0.77            | 0.71
 150629_7001448_0295_BC6VNCANXX | Schubert-strandRNA4-2015-05-26  | Schubert-strandRNA4-pool        | 31.43            | 31.43            |                |                |                  |                  | 952                         | 952                         | 264462301       | 264462301       | 251411545      | 251411545      | 95.1   | 95.1   | 2714                 | 15132                |                       |                       | 0.078        | 0.078        | 0.409           | 0.258           | 0.8          | 0.8          | 1.37            | 0.83
 150629_7001448_0295_BC6VNCANXX | Sun-excap2-Pool2-2015-06-12     | Sun-excap2-Pool2                | 27.69            | 27.69            |                |                |                  |                  | 833                         | 833                         | 231365372       | 231365372       | 221499703      | 221499703      | 95.7   | 95.7   | 9602                 | 15672                |                       |                       | 0.077        | 0.089        | 0.431           | 0.245           | 1            | 0.9          | 1.42            | 0.78
 150629_7001448_0295_BC6VNCANXX | Sun-excap2-Pool2-2015-06-12     | Sun-excap2-Pool2                | 27.83            | 27.83            |                |                |                  |                  | 837                         | 837                         | 232503525       | 232503525       | 222616137      | 222616137      | 95.7   | 95.7   | 9759                 | 15883                |                       |                       | 0.078        | 0.088        | 0.419           | 0.235           | 1            | 0.9          | 1.22            | 0.73
 150629_7001448_0295_BC6VNCANXX | Sun-excap2-Pool2-2015-06-12     | Sun-excap2-Pool2                | 27.92            | 27.92            |                |                |                  |                  | 840                         | 840                         | 233473868       | 233473868       | 223374173      | 223374173      | 95.7   | 95.7   | 9850                 | 16104                |                       |                       | 0.08         | 0.091        | 0.399           | 0.235           | 1            | 0.9          | 1.11            | 0.74
 150629_7001448_0295_BC6VNCANXX | Sun-excap1-Pool3-2015-02-23     | Sun-excap1-Pool3                | 31.04            | 31.04            |                |                |                  |                  | 941                         | 941                         | 261340160       | 261340160       | 248326696      | 248326696      | 95     | 95     | 9414                 | 15249                |                       |                       | 0.075        | 0.088        | 0.394           | 0.227           | 0.8          | 0.8          | 1.21            | 0.81
 150717_D00132_0129_AC715JANXX  | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool1           | 32.07            | 32.07            |                |                |                  |                  | 989                         | 989                         | 274860289       | 274860289       | 256521696      | 256521696      | 93.3   | 93.3   | 6253                 | 13014                |                       |                       | 0.079        | 0.093        | 0.087           | 0.081           | 1.2          | 1.2          | 0.53            | 0.72
 150717_D00132_0129_AC715JANXX  | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool2           | 34.14            | 34.14            |                |                |                  |                  | 1073                        | 1073                        | 298071857       | 298071857       | 273107414      | 273107414      | 91.6   | 91.6   | 6083                 | 12730                |                       |                       | 0.079        | 0.097        | 0.088           | 0.08            | 1            | 1            | 0.55            | 0.78
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-632-633-634-635            | 36.31            | 36.31            |                |                |                  |                  | 1174                        | 1174                        | 326137178       | 326137178       | 290497476      | 290497476      | 89.1   | 89.1   | 6818                 | 10723                |                       |                       | 0.075        | 0.09         | 0.08            | 0.083           | 0.8          | 0.8          | 0.6             | 0.94
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-636-637-638-639            | 34.98            | 34.98            |                |                |                  |                  | 1111                        | 1111                        | 308757566       | 308757566       | 279837290      | 279837290      | 90.6   | 90.6   | 7067                 | 11906                |                       |                       | 0.076        | 0.084        | 0.084           | 0.086           | 0.9          | 0.9          | 0.57            | 0.83
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-640-641-642-643            | 34.89            | 34.89            |                |                |                  |                  | 1103                        | 1103                        | 306371070       | 306371070       | 279149665      | 279149665      | 91.1   | 91.1   | 6693                 | 12233                |                       |                       | 0.074        | 0.082        | 0.081           | 0.085           | 1            | 0.9          | 0.57            | 0.84
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-644-645-646-647            | 36.5             | 36.5             |                |                |                  |                  | 1240                        | 1240                        | 344527396       | 344527396       | 292016997      | 292016997      | 84.8   | 84.8   | 6328                 | 1735                 |                       |                       | 0.07         | 0.086        | 0.082           | 0.086           | 0.6          | 0.6          | 0.7             | 1.13
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-648-649-650-651            | 36.15            | 36.15            |                |                |                  |                  | 1182                        | 1182                        | 328398663       | 328398663       | 289179253      | 289179253      | 88.1   | 88.1   | 6420                 | 11255                |                       |                       | 0.07         | 0.086        | 0.085           | 0.088           | 0.8          | 0.7          | 0.63            | 0.98
 150717_D00132_0129_AC715JANXX  | Diag-excap46-2015-06-26         | Diag-652-653-654-655            | 36.06            | 36.06            |                |                |                  |                  | 1187                        | 1187                        | 329708767       | 329708767       | 288514382      | 288514382      | 87.5   | 87.5   | 6773                 | 10620                |                       |                       | 0.072        | 0.083        | 0.082           | 0.087           | 0.6          | 0.5          | 0.64            | 0.99
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool3           | 36.81            | 36.81            |                |                |                  |                  | 1132                        | 1132                        | 314456846       | 314456846       | 294474820      | 294474820      | 93.6   | 93.6   | 5637                 | 11788                |                       |                       | 0.084        | 0.09         | 0.272           | 0.173           | 1.1          | 1.1          | 0.6             | 0.71
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool4           | 36.43            | 36.43            |                |                |                  |                  | 1120                        | 1120                        | 311018603       | 311018603       | 291479712      | 291479712      | 93.7   | 93.7   | 5637                 | 12061                |                       |                       | 0.082        | 0.088        | 0.317           | 0.18            | 1.1          | 1.1          | 0.68            | 0.7
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool5           | 36.72            | 36.72            |                |                |                  |                  | 1130                        | 1130                        | 313948830       | 313948830       | 293771195      | 293771195      | 93.6   | 93.6   | 5753                 | 11787                |                       |                       | 0.079        | 0.087        | 0.359           | 0.192           | 1.1          | 1.1          | 0.81            | 0.75
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool6           | 38.53            | 38.53            |                |                |                  |                  | 1202                        | 1202                        | 333800322       | 333800322       | 308256633      | 308256633      | 92.3   | 92.3   | 5486                 | 11282                |                       |                       | 0.081        | 0.087        | 0.401           | 0.181           | 1            | 1            | 0.97            | 0.79
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool7           | 36.48            | 36.48            |                |                |                  |                  | 1119                        | 1119                        | 310774934       | 310774934       | 291874292      | 291874292      | 93.9   | 93.9   | 5682                 | 11407                |                       |                       | 0.078        | 0.087        | 0.374           | 0.234           | 1.1          | 1.1          | 1.1             | 0.97
 150720_7001448_0298_AC714DANXX | Pihlstrom-HALO2-2015-06-10      | Pihlstrom-HALO2-Pool8           | 36.16            | 36.16            |                |                |                  |                  | 1105                        | 1105                        | 306923957       | 306923957       | 289262084      | 289262084      | 94.2   | 94.2   | 5528                 | 12469                |                       |                       | 0.077        | 0.086        | 0.41            | 0.242           | 1.2          | 1.2          | 1.49            | 1.05
 150720_7001448_0298_AC714DANXX | Diag-excap47-2015-07-09         | Diag.658_659_660_661            | 37.2             | 37.2             |                |                |                  |                  | 1138                        | 1138                        | 316124031       | 316124031       | 297606216      | 297606216      | 94.1   | 94.1   | 6022                 | 10380                |                       |                       | 0.078        | 0.082        | 0.437           | 0.208           | 1.1          | 1.1          | 1.27            | 0.71
 150720_7001448_0298_AC714DANXX | Diag-excap47-2015-07-09         | Diag.662_663_664_665            | 36.85            | 36.85            |                |                |                  |                  | 1123                        | 1123                        | 311992528       | 311992528       | 294775369      | 294775369      | 94.5   | 94.5   | 6262                 | 10278                |                       |                       | 0.083        | 0.086        | 0.318           | 0.167           | 1.1          | 1.1          | 0.71            | 0.62
 150728_D00132_0131_AC71JPANXX  | Sun-excap3-Pool1-2015-04-15     | Sun-excap3-Pool1                | 31.02            | 31.02            |                |                |                  |                  | 945                         | 945                         | 262451528       | 262451528       | 248161017      | 248161017      | 94.6   | 94.6   | 6827                 | 12426                |                       |                       | 0.086        | 0.08         | 0.054           | 0.068           | 1.5          | 1.4          | 0.55            | 0.77
 150728_D00132_0131_AC71JPANXX  | Sun-excap3-Pool1-2015-04-15     | Sun-excap3-Pool1                | 31.21            | 31.21            |                |                |                  |                  | 950                         | 950                         | 263798142       | 263798142       | 249683105      | 249683105      | 94.6   | 94.6   | 6910                 | 12608                |                       |                       | 0.089        | 0.081        | 0.058           | 0.068           | 1.5          | 1.4          | 0.55            | 0.76
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.658_659_660_661            | 32.5             | 32.5             |                |                |                  |                  | 1001                        | 1001                        | 278184813       | 278184813       | 260010376      | 260010376      | 93.5   | 93.5   | 6738                 | 11616                |                       |                       | 0.082        | 0.081        | 0.065           | 0.074           | 1.1          | 1.1          | 0.56            | 0.8
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.662_663_664_665            | 32.09            | 32.09            |                |                |                  |                  | 986                         | 986                         | 273956748       | 273956748       | 256704639      | 256704639      | 93.7   | 93.7   | 6407                 | 10512                |                       |                       | 0.083        | 0.079        | 0.058           | 0.067           | 1.2          | 1.1          | 0.54            | 0.79
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.666_667_668_669            | 32.49            | 32.49            |                |                |                  |                  | 1003                        | 1003                        | 278523025       | 278523025       | 259914039      | 259914039      | 93.3   | 93.3   | 6526                 | 12249                |                       |                       | 0.082        | 0.079        | 0.058           | 0.068           | 1.1          | 1.1          | 0.56            | 0.8
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.670_671_672_673            | 32.03            | 32.03            |                |                |                  |                  | 984                         | 984                         | 273234876       | 273234876       | 256257424      | 256257424      | 93.8   | 93.8   | 6510                 | 13179                |                       |                       | 0.082        | 0.079        | 0.056           | 0.069           | 1.1          | 1.1          | 0.54            | 0.77
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.674_675_676_677            | 32.77            | 32.77            |                |                |                  |                  | 1013                        | 1013                        | 281289268       | 281289268       | 262172358      | 262172358      | 93.2   | 93.2   | 6544                 | 11095                |                       |                       | 0.077        | 0.079        | 0.058           | 0.071           | 1.1          | 1.1          | 0.55            | 0.82
 150728_D00132_0131_AC71JPANXX  | Diag-excap47-2015-07-09         | Diag.678_679_680_681            | 31.91            | 31.91            |                |                |                  |                  | 982                         | 982                         | 272858960       | 272858960       | 255268950      | 255268950      | 93.6   | 93.6   | 6714                 | 9120                 |                       |                       | 0.08         | 0.078        | 0.057           | 0.07            | 1.1          | 1.1          | 0.58            | 0.78
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.23            | 27.23            |                |                |                  |                  | 869                         | 869                         | 241490100       | 241490100       | 217850182      | 217850182      | 90.2   | 90.2   | 8518                 | 7079                 |                       |                       | 0            | 0.087        | 0.003           | 0.067           | 2            | 2            | 0.43            | 0.74
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.24            | 27.24            |                |                |                  |                  | 869                         | 869                         | 241406559       | 241406559       | 217880094      | 217880094      | 90.3   | 90.3   | 7623                 | 6570                 |                       |                       | 0            | 0.082        | 0.001           | 0.07            | 2            | 2            | 0.45            | 0.72
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.47            | 27.47            |                |                |                  |                  | 878                         | 878                         | 243804506       | 243804506       | 219742604      | 219742604      | 90.1   | 90.1   | 7930                 | 6618                 |                       |                       | 0            | 0.083        | 0.002           | 0.067           | 2            | 1.9          | 0.46            | 0.73
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.38            | 27.38            |                |                |                  |                  | 875                         | 875                         | 243061447       | 243061447       | 219002000      | 219002000      | 90.1   | 90.1   | 7963                 | 6677                 |                       |                       | 0            | 0.083        | 0.002           | 0.07            | 2            | 1.9          | 0.46            | 0.75
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.44            | 27.44            |                |                |                  |                  | 876                         | 876                         | 243240323       | 243240323       | 219525981      | 219525981      | 90.3   | 90.3   | 7901                 | 6560                 |                       |                       | 0            | 0.082        | 0.001           | 0.073           | 2            | 1.9          | 0.46            | 0.75
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.49            | 27.49            |                |                |                  |                  | 877                         | 877                         | 243659738       | 243659738       | 219921538      | 219921538      | 90.3   | 90.3   | 7862                 | 6508                 |                       |                       | 0            | 0.084        | 0.002           | 0.069           | 2            | 1.9          | 0.47            | 0.74
 150818_D00132_0136_AC6U3VANXX  | FXp-PCRfreevalid3-2015-05-07    | FXp-PCRfreevalid3-pool3-4-7Kent | 27.5             | 27.5             |                |                |                  |                  | 878                         | 878                         | 243895915       | 243895915       | 220030795      | 220030795      | 90.2   | 90.2   | 7905                 | 6642                 |                       |                       | 0            | 0.082        | 0.002           | 0.066           | 2            | 1.9          | 0.46            | 0.75
 150818_D00132_0136_AC6U3VANXX  | Diag-excap48-2015-08-12         | Diag.682_683_684_685            | 28.22            | 28.22            |                |                |                  |                  | 858                         | 858                         | 238348885       | 238348885       | 225750237      | 225750237      | 94.7   | 94.7   | 7942                 | 13573                |                       |                       | 0.084        | 0.081        | 0.056           | 0.068           | 1.8          | 1.8          | 0.42            | 0.64
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool1                  | 30.42            | 30.42            |                |                |                  |                  | 926                         | 926                         | 257356010       | 257356010       | 243399395      | 243399395      | 94.6   | 94.6   | 6689                 | 13623                |                       |                       | 0.078        | 0.081        | 0.065           | 0.069           | 2.2          | 2.1          | 0.47            | 0.74
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool1                  | 30.36            | 30.36            |                |                |                  |                  | 925                         | 925                         | 257077554       | 257077554       | 242885243      | 242885243      | 94.5   | 94.5   | 6651                 | 13407                |                       |                       | 0.076        | 0.081        | 0.066           | 0.068           | 2.2          | 2.1          | 0.48            | 0.73
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool1                  | 30.35            | 30.35            |                |                |                  |                  | 925                         | 925                         | 256881707       | 256881707       | 242767895      | 242767895      | 94.5   | 94.5   | 6711                 | 13362                |                       |                       | 0.074        | 0.08         | 0.067           | 0.068           | 2.1          | 2.1          | 0.49            | 0.74
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool2                  | 31.02            | 31.02            |                |                |                  |                  | 952                         | 952                         | 264525029       | 264525029       | 248182704      | 248182704      | 93.8   | 93.8   | 6571                 | 13422                |                       |                       | 0.071        | 0.079        | 0.063           | 0.066           | 2            | 2            | 0.49            | 0.77
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool2                  | 31.15            | 31.15            |                |                |                  |                  | 954                         | 954                         | 265054572       | 265054572       | 249168188      | 249168188      | 94     | 94     | 6494                 | 13207                |                       |                       | 0.073        | 0.08         | 0.061           | 0.065           | 2            | 2            | 0.52            | 0.78
 150818_D00132_0137_BC71LCANXX  | Sun-RNA2-2015-06-23             | Sun-RNA2-Pool2                  | 31.12            | 31.12            |                |                |                  |                  | 955                         | 955                         | 265364186       | 265364186       | 248939412      | 248939412      | 93.8   | 93.8   | 6725                 | 13642                |                       |                       | 0.074        | 0.079        | 0.062           | 0.063           | 2            | 2            | 0.54            | 0.81
